Date,PlayerName,GIDP,playerid,Opp,Team,HomeAway,IP,H,R,ER,HR,BB,IBB,WP,BK,SO
2022-04-24,Robbie Ray,1,11486,KCR,SEA,H,6,5,2,2,0,1,0,0,0,5
2022-04-26,Eduardo Rodriguez,1,13164,@MIN,DET,A,6,4,3,3,1,2,0,0,0,6
2022-04-15,Joe Ryan,1,21390,@BOS,MIN,A,6,5,1,1,1,0,0,0,0,7
2022-04-08,Max Scherzer,1,3137,@WSN,NYM,A,6,3,3,3,1,1,0,0,0,6
2022-04-20,Luis Severino,1,15890,@DET,NYY,A,5,7,1,1,0,2,0,0,0,3
2022-04-07,Framber Valdez,2,17295,@LAA,HOU,A,6.2,2,0,0,0,1,0,0,0,6
2022-04-19,Framber Valdez,1,17295,LAA,HOU,H,4.1,8,6,6,0,4,0,0,0,3
2022-04-25,Framber Valdez,1,17295,@TEX,HOU,A,6,4,1,0,0,2,0,1,0,5
2022-04-16,Justin Verlander,1,8700,@SEA,HOU,A,8,3,0,0,0,0,0,0,0,8
2022-04-07,Adam Wainwright,1,2233,PIT,STL,H,6,5,0,0,0,0,0,1,0,6
2022-04-24,Adam Wainwright,1,2233,@CIN,STL,A,5,8,4,4,0,3,0,1,0,3
2022-04-29,Adam Wainwright,2,2233,ARI,STL,H,6,4,3,3,0,5,0,0,0,4
2022-04-08,Logan Webb,1,17995,MIA,SFG,H,6,5,1,1,0,1,0,0,0,3
2022-04-19,Logan Webb,1,17995,@NYM,SFG,A,3.2,6,3,3,0,3,0,1,0,1
2022-04-30,Logan Webb,2,17995,WSN,SFG,H,6,11,3,3,0,1,0,0,0,3
2022-04-09,Kyle Wright,1,19665,CIN,ATL,H,6,2,0,0,0,1,0,0,0,6
2022-04-28,Kyle Wright,1,19665,CHC,ATL,H,7,3,1,1,0,4,0,0,0,8
2022-04-30,Joan Adon,0,22925,@SFG,WSN,A,4,4,4,4,0,3,0,0,0,5
2022-04-24,Joan Adon,0,22925,SFG,WSN,H,4,6,5,5,1,1,0,1,0,3
2022-04-19,Joan Adon,0,22925,ARI,WSN,H,6.1,3,0,0,0,2,0,0,0,5
2022-04-14,Joan Adon,0,22925,@PIT,WSN,A,4.2,9,6,6,2,3,0,1,0,5
2022-04-09,Joan Adon,0,22925,NYM,WSN,H,4.1,4,4,4,1,4,0,2,0,3
2022-04-08,Sandy Alcantara,0,18684,@SFG,MIA,A,5,3,3,2,1,5,0,0,0,4
2022-04-20,Chris Bassitt,0,12304,SFG,NYM,H,6,8,5,5,1,1,0,1,0,6
2022-04-15,Chris Bassitt,0,12304,ARI,NYM,H,6,2,1,1,1,2,0,0,0,6
2022-04-30,Jose Berrios,0,14168,HOU,TOR,H,5.2,7,1,1,1,2,0,0,0,5
2022-04-25,Jose Berrios,0,14168,BOS,TOR,H,7,5,2,2,0,1,0,0,0,4
2022-04-20,Jose Berrios,0,14168,@BOS,TOR,A,6,8,1,1,0,1,0,0,0,6
2022-04-13,Jose Berrios,0,14168,@NYY,TOR,A,5,6,3,3,2,3,0,0,0,5
2022-04-08,Jose Berrios,0,14168,TEX,TOR,H,0.1,3,4,4,1,2,0,1,0,0
2022-04-25,Shane Bieber,0,19427,@LAA,CLE,A,6.1,7,3,3,2,2,0,1,0,6
2022-04-20,Shane Bieber,0,19427,CHW,CLE,H,6,4,1,1,0,0,0,0,0,7
2022-04-07,Shane Bieber,0,19427,@KCR,CLE,A,4.2,2,1,0,0,0,0,0,0,4
2022-04-25,Walker Buehler,0,19374,@ARI,LAD,A,9,3,0,0,0,0,0,1,0,10
2022-04-14,Walker Buehler,0,19374,CIN,LAD,H,5.2,5,2,2,1,3,0,0,0,4
2022-04-08,Walker Buehler,0,19374,@COL,LAD,A,5,4,2,2,0,2,0,0,0,5
